epoch,step,train_loss,val_acc,val_loss
0,9,0.6965650320053101,,
0,19,0.681757926940918,,
0,29,0.676365852355957,,
0,39,0.7074152827262878,,
0,49,0.5806372761726379,,
0,59,0.5968071818351746,,
0,69,0.6113244891166687,,
0,79,0.5595988035202026,,
0,89,0.7085521817207336,,
0,99,0.6161868572235107,,
0,109,0.6060978174209595,,
0,119,0.6494003534317017,,
0,129,0.5380532741546631,,
0,139,0.5163648128509521,,
0,149,0.5493801236152649,,
0,159,0.5039681196212769,,
0,169,0.5519957542419434,,
0,179,0.5022348761558533,,
0,189,0.5555596351623535,,
0,199,0.4839799404144287,,
0,209,0.6485509872436523,,
0,219,0.5524426698684692,,
0,229,0.47181013226509094,,
0,239,0.47171667218208313,,
0,249,0.569947361946106,,
0,259,0.5584553480148315,,
0,269,0.4511314630508423,,
0,279,0.5295019745826721,,
0,289,0.5311874151229858,,
0,299,0.5043699741363525,,
0,309,0.5592244863510132,,
0,319,0.476352334022522,,
0,329,0.494072288274765,,
0,339,0.47396552562713623,,
0,349,0.5100605487823486,,
0,359,0.4886467456817627,,
0,369,0.4671877920627594,,
0,379,0.42848867177963257,,
0,389,0.4535232186317444,,
0,399,0.3508231043815613,,
0,409,0.41807132959365845,,
0,419,0.45327937602996826,,
0,429,0.47945916652679443,,
0,439,0.43466314673423767,,
0,449,0.419627845287323,,
0,459,0.3445723056793213,,
0,469,0.39412766695022583,,
0,479,0.39506644010543823,,
0,489,0.40401676297187805,,
0,499,0.3628081977367401,,
0,505,,0.8199234008789062,0.4071245789527893
1,509,0.46821603178977966,,
1,519,0.295846164226532,,
1,529,0.348307341337204,,
1,539,0.3663035035133362,,
1,549,0.24214553833007812,,
1,559,0.426967054605484,,
1,569,0.34305745363235474,,
1,579,0.30844444036483765,,
1,589,0.3303513824939728,,
1,599,0.317931592464447,,
1,609,0.45983773469924927,,
1,619,0.3158075511455536,,
1,629,0.397224098443985,,
1,639,0.3067050278186798,,
1,649,0.34571149945259094,,
1,659,0.2974841296672821,,
1,669,0.37524354457855225,,
1,679,0.2919888198375702,,
1,689,0.2856996953487396,,
1,699,0.2654104232788086,,
1,709,0.36730411648750305,,
1,719,0.28610458970069885,,
1,729,0.3520958125591278,,
1,739,0.2822757959365845,,
1,749,0.3650240898132324,,
1,759,0.253743052482605,,
1,769,0.32631969451904297,,
1,779,0.3750097155570984,,
1,789,0.30889469385147095,,
1,799,0.33181875944137573,,
1,809,0.3394998610019684,,
1,819,0.33056700229644775,,
1,829,0.28941965103149414,,
1,839,0.36139607429504395,,
1,849,0.3187078833580017,,
1,859,0.29666489362716675,,
1,869,0.4540957808494568,,
1,879,0.3378816843032837,,
1,889,0.35680264234542847,,
1,899,0.25751346349716187,,
1,909,0.2062523066997528,,
1,919,0.3109373450279236,,
1,929,0.27197957038879395,,
1,939,0.2576671242713928,,
1,949,0.2563624382019043,,
1,959,0.1970328837633133,,
1,969,0.3675369620323181,,
1,979,0.3153493404388428,,
1,989,0.31778568029403687,,
1,999,0.3620694577693939,,
1,1009,0.24494662880897522,,
1,1011,,0.8731924295425415,0.30493950843811035
2,1019,0.2727636992931366,,
2,1029,0.19583940505981445,,
2,1039,0.22160553932189941,,
2,1049,0.2824769914150238,,
2,1059,0.27841073274612427,,
2,1069,0.22809197008609772,,
2,1079,0.31974154710769653,,
2,1089,0.2596701979637146,,
2,1099,0.19538463652133942,,
2,1109,0.3403833210468292,,
2,1119,0.2538885474205017,,
2,1129,0.21723634004592896,,
2,1139,0.27033087611198425,,
2,1149,0.16725188493728638,,
2,1159,0.21483135223388672,,
2,1169,0.27270323038101196,,
2,1179,0.30943846702575684,,
2,1189,0.31305333971977234,,
2,1199,0.2569052577018738,,
2,1209,0.22950609028339386,,
2,1219,0.22698791325092316,,
2,1229,0.3402130603790283,,
2,1239,0.28760790824890137,,
2,1249,0.2525787055492401,,
2,1259,0.39923733472824097,,
2,1269,0.3359333276748657,,
2,1279,0.27504223585128784,,
2,1289,0.26565980911254883,,
2,1299,0.20869891345500946,,
2,1309,0.17866036295890808,,
2,1319,0.2877998352050781,,
2,1329,0.30260080099105835,,
2,1339,0.3201461732387543,,
2,1349,0.21902507543563843,,
2,1359,0.3118378818035126,,
2,1369,0.2643640339374542,,
2,1379,0.281386137008667,,
2,1389,0.2470831722021103,,
2,1399,0.2544398903846741,,
2,1409,0.26488620042800903,,
2,1419,0.25824636220932007,,
2,1429,0.17193233966827393,,
2,1439,0.2610664963722229,,
2,1449,0.2928133010864258,,
2,1459,0.3245755136013031,,
2,1469,0.19581972062587738,,
2,1479,0.2446204572916031,,
2,1489,0.21476340293884277,,
2,1499,0.2766162157058716,,
2,1509,0.2625662088394165,,
2,1517,,0.8871585726737976,0.27950671315193176
3,1519,0.2027660310268402,,
3,1529,0.20552416145801544,,
3,1539,0.19222384691238403,,
3,1549,0.23143261671066284,,
3,1559,0.13984611630439758,,
3,1569,0.16917860507965088,,
3,1579,0.21646985411643982,,
3,1589,0.21833524107933044,,
3,1599,0.18543311953544617,,
3,1609,0.18187613785266876,,
3,1619,0.2654140591621399,,
3,1629,0.18282099068164825,,
